[2025-07-09 11:19:08] IP: ::1 | Page: /akshaynetra/hospitals.php | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36 | Referer: http://localhost/akshaynetra/role-of-hospital.php
[2025-07-09 11:23:00] IP: ::1 | Page: /akshaynetra/role-of-hospital.php | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36 | Referer: Direct
[2025-07-09 11:24:20] IP: ::1 | Page: /akshaynetra/role-of-hospital.php | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36 | Referer: Direct
[2025-07-09 11:25:36] IP: ::1 | Page: /akshaynetra/role-of-hospital.php | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36 | Referer: Direct
[2025-07-09 11:26:04] IP: ::1 | Page: /akshaynetra/role-of-hospital.php | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36 | Referer: Direct
[2025-07-09 11:26:23] IP: ::1 | Page: /akshaynetra/role-of-hospital.php | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36 | Referer: Direct
[2025-07-09 11:26:51] IP: ::1 | Page: /akshaynetra/role-of-hospital.php | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36 | Referer: Direct
[2025-07-09 11:28:13] IP: ::1 | Page: /akshaynetra/role-of-hospital.php | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36 | Referer: Direct
[2025-07-09 11:28:26] IP: ::1 | Page: /akshaynetra/role-of-hospital.php | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36 | Referer: Direct
[2025-07-09 11:32:15] IP: ::1 | Page: /akshaynetra/role-of-hospital.php | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36 | Referer: Direct
[2025-07-09 11:45:31] IP: ::1 | Page: /akshaynetra/role-of-hospital.php | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36 | Referer: Direct
[2025-07-09 11:47:29] IP: ::1 | Page: /akshaynetra/role-of-hospital.php | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36 | Referer: Direct
[2025-07-09 11:47:39] IP: ::1 | Page: /akshaynetra/role-of-hospital.php | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36 | Referer: Direct
[2025-07-09 11:47:56] IP: ::1 | Page: /akshaynetra/role-of-hospital.php | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36 | Referer: Direct
[2025-07-09 11:48:14] IP: ::1 | Page: /akshaynetra/role-of-hospital.php | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36 | Referer: Direct
[2025-07-09 11:48:32] IP: ::1 | Page: /akshaynetra/role-of-hospital.php | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36 | Referer: Direct
[2025-07-09 11:48:46] IP: ::1 | Page: /akshaynetra/role-of-hospital.php | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36 | Referer: Direct
[2025-07-09 11:50:17] IP: ::1 | Page: /akshaynetra/role-of-hospital.php | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36 | Referer: Direct
[2025-07-09 11:50:22] IP: ::1 | Page: /akshaynetra/role-of-hospital.php | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36 | Referer: Direct
[2025-07-09 11:51:25] IP: ::1 | Page: /akshaynetra/role-of-hospital.php | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36 | Referer: Direct
[2025-07-09 11:52:25] IP: ::1 | Page: /akshaynetra/role-of-hospital.php | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36 | Referer: Direct
[2025-07-09 11:53:06] IP: ::1 | Page: /akshaynetra/role-of-hospital.php | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36 | Referer: Direct
[2025-07-09 11:56:23] IP: ::1 | Page: /akshaynetra/role-of-hospital.php | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36 | Referer: Direct
[2025-07-09 11:57:46] IP: ::1 | Page: /akshaynetra/role-of-hospital.php | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36 | Referer: Direct
